name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
DESY3RM-29312,36.1384742895804,-4.23867608160795,0.26519367,0.0232,493.21299266556343,20.6175493339729,1.269626131,0.044834743,0.0411350299999999,5.2315743000000003e+42,7.532871415239e+41,6.978621481300502e+41,9.932283316000001e+42,1.1496355292735402e+42,9.857480815940401e+41,1.279116414,0.047851491,0.0437509419999999,4.7062038140000005e+42,5.9038535718346e+41,6.5178956590162006e+41,8.966255537e+42,1.3227985523459301e+42,8.8959371530644e+41
DESY3RM-29944,16.55337798513,-64.3719820433953,0.16549367,0.0268,538.1468486483491,30.390312910003942,1.550968219,0.160749781,0.1400650059999999,5.068148433e+42,6.366379546026801e+41,5.258506543707901e+41,1.0424851760000001e+43,1.3616709735385401e+42,1.6902289446069402e+42,1.571617367,0.1716208720000001,0.1487293679999999,4.724766152e+42,6.8301775763068005e+41,5.785626261512501e+41,9.762219613000002e+42,1.6189673088851604e+42,1.6063056472904302e+42
DESY3RM-30233,16.1735234646146,-0.427702156309931,0.26602894,0.0359,190.50183023009996,28.1530530891825,,,,,,,,,,3.205928132,1.890871594,-3.205928132,1.3575145240000001e+42,1.3575145240000001e+42,6.612410666628501e+41,3.607474466e+42,3.6074744657716e+42,1.64759664244254e+42
DESY3RM-30479,37.623899977555,-5.22529914043935,0.1921493,0.0227,481.94557323294515,16.004088397725624,1.499175048,0.1609260309999998,0.2228275580000001,2.3608028480000004e+42,5.984181114061e+41,5.5767719335253e+41,4.791168306000001e+42,1.7992875577225e+42,1.41878301160332e+42,1.355205637,0.2376918679999999,0.171620101,2.1899346510000002e+42,1.27584901709681e+42,1.0814546001967201e+42,4.599051924e+42,1.89397649372112e+42,1.88388917781104e+42
DESY3RM-30484,320.935158955252,-0.698400024060427,0.19588248,0.037,385.62713945717644,27.307030531668875,0.9339991568,0.1023959587999999,0.0949539851999999,1.615458399e+42,5.3410002569815e+41,6.066406272193901e+41,2.7049113520000005e+42,7.7841836356969e+41,8.747018803231201e+41,0.9709995768,0.1123927952,0.0969237041999998,1.5167651230000002e+42,6.6944011022543e+41,4.166078254754301e+41,2.5793511320000004e+42,9.169418336382801e+41,8.493472150898002e+41
DESY3RM-30610,36.9181358536764,-4.85857644890482,0.28519702,0.0221,567.5397649849659,19.45289590982937,2.012032522,0.0932825130000001,0.0914782129999998,2.7736445270000003e+43,2.6058135080348402e+42,9.389416839046501e+41,6.185411441000001e+43,6.164609614657761e+42,2.02052135020794e+42,2.253996469,0.198452617,0.2411709549999998,1.773559185e+43,2.67392649566662e+42,9.296596060495802e+41,4.111380325e+43,6.9179398737913e+42,2.2419820672363802e+42
DESY3RM-30691,17.8809045947704,-45.8375151112063,0.24008107,,,,,,,,,,,,,,,,,,,,,
DESY3RM-31041,35.6465006523325,-8.96204064329799,0.2349944,,,,,,,,,,,,,,,,,,,,,
DESY3RM-31280,30.3761685991352,-5.51341994650922,0.1818424,,,,,,,,,,,,,,,,,,,,,
DESY3RM-31451,23.249156166694,-13.4863675463761,0.22696626,,,,,,,,,,,,,,,,,,,,,
DESY3RM-31530,32.4940645773535,-4.98220737088939,0.14421174,0.0176,491.453905690678,19.691374625777716,1.373173928,0.0639736659999998,0.1580384999999999,3.5100889070000007e+42,6.986555887049801e+41,6.0244710356975e+41,6.969807841000001e+42,1.2937239036315e+42,1.39960928747631e+42,1.373070945,0.0751956900000001,0.179616508,2.8607983510000004e+42,6.3349688352365e+41,6.4596008608482005e+41,5.680427849e+42,1.20387487874921e+42,1.7457746773831303e+42
DESY3RM-32259,23.7313180168145,0.387937098018915,0.15199359,,,,,,,,,,,,,,,,,,,,,
DESY3RM-32606,18.1670082064646,0.0345525311829896,0.24620606,,,,,,,,,,,,,,,,,,,,,
DESY3RM-32630,16.975853154191,0.515158588300508,0.29826298,,,,,,,,,,,,,,,,,,,,,
DESY3RM-32824,346.355671534782,-51.5140417360916,0.19606958,0.00802,673.7585876691139,104.96112311091835,2.642582014,0.7946838169999999,1.6290937280000004,3.9266359950000006e+42,1.33513617469145e+42,1.1863342248353902e+42,1.0103509650000002e+43,3.64066023253573e+42,3.0059946376060903e+42,2.613121015,0.829148105,1.809517519,3.1059326290000006e+42,1.1973359777431502e+42,9.6561666752097e+41,7.96157226e+42,3.936675463656251e+42,3.4897795287706705e+42
DESY3RM-33010,36.5007313757876,-2.82543456594053,0.27805895,0.0214,472.3828860120333,29.238911143311473,1.368154113,0.0830060559999998,0.2188431890000002,4.355828034e+42,6.0020191009686e+41,9.641813511662102e+41,8.583358103e+42,1.35600331537517e+42,1.9251988841989704e+42,1.623230682,0.3264665229999999,0.431810499,3.488409953e+42,8.3387782883426e+41,8.515511161095301e+41,7.253929517000001e+42,1.83054571553177e+42,2.30391673323199e+42
DESY3RM-33171,56.4778196797796,-24.0978402309392,0.14477484,0.012,379.1218640703858,28.145199699411762,0.969857834,0.1995487807,0.201223185,1.201342595e+42,5.3991790435174e+41,4.9861777123599e+41,2.047116365e+42,6.5917417158066e+41,8.336901897241401e+41,1.078988471,0.3371184948999999,0.197323334,6.1256340470000006e+41,6.1256340470000006e+41,3.2326844815411e+41,1.097067765e+42,1.0970670763430301e+42,8.317044801350801e+41
DESY3RM-33549,20.6355593251351,-0.156351077664616,0.291717,,,,,,,,,,,,,,,,,,,,,
DESY3RM-33985,80.1840836261248,-48.2153418111051,0.25927997,,,,,,,,,,,,,,,,,,,,,
DESY3RM-34032,63.5594550174242,-22.0064250876535,0.20161273,0.0205,364.3949126400914,30.479293940870438,0.9759331961,0.1316106000999999,0.1108640799,1.905291943e+42,3.8523523346802e+41,2.8361650157391002e+41,3.241674448e+42,6.1428127766954006e+41,6.6611620732675e+41,1.00803629,0.1624216164999999,0.160870711,1.4760069090000002e+42,3.5533391504374e+41,3.5046417090149e+41,2.5463627440000005e+42,7.6591705602523e+41,6.1649778794793e+41
DESY3RM-34351,29.2023900865722,-1.11372695300027,0.23582985,0.0264,534.1446944697984,65.82387637635125,1.676076535,0.3639229029999999,0.6224850900000001,1.69140978e+43,5.1005040436501e+42,7.054194904057951e+42,3.5590817960000004e+43,1.354408048989976e+43,1.709193428723958e+43,0.1021485978,0.04377435988,0.0565677684999999,1.122936921e+43,1.122936921e+43,-6.887290318938801e+42,6.295463550000001e+44,6.295463550000001e+44,-3.062434409716411e+44
DESY3RM-34496,351.417271512926,-54.7419065160221,0.11700302,0.0102,486.47125822307777,17.433437205709005,1.324151599,0.0451540709999997,0.040245955,4.2881778860000004e+42,5.998892367002001e+41,4.8934098735119e+41,8.366736096000001e+42,1.2162044593037801e+42,1.1449218289154301e+42,1.600232827,0.1140237879999999,0.103919689,2.997807245e+42,4.5549002089601004e+41,5.2723474512763005e+41,6.24795746e+42,1.4060041440750602e+42,1.1362108522169302e+42
